model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse
GAT,2,1,32,4,0.001,31220.27734375,154.18353271484375,176.69260693008636
GAT,2,1,32,4,0.01,651346.8125,697.7831420898438,807.0606002649367
GAT,2,1,32,4,0.1,17.33357810974121,3.9129416942596436,4.163361395524199
GAT,2,2,8,1,0.001,339019694080.0,505285.96875,582253.9772985668
GAT,2,2,8,1,0.01,209819.015625,397.9538269042969,458.0600567884085
GAT,2,2,8,1,0.1,12.711441040039062,3.278381824493408,3.5653107915073914
GAT,2,2,8,2,0.001,138865200.0,10223.251953125,11784.107942479142
GAT,2,2,8,2,0.01,16409542.0,3514.470458984375,4050.869289424185
GAT,2,2,8,2,0.1,14.301465034484863,3.5041401386260986,3.781727784291839
GAT,2,2,8,4,0.001,32056.693359375,155.68113708496094,179.04383083305328
GAT,2,2,8,4,0.01,18659584.0,3750.486572265625,4319.6740617782725
GAT,2,2,8,4,0.1,20.420190811157227,4.289256572723389,4.518870523831948
GAT,2,2,16,1,0.001,25725750.0,4401.56298828125,5072.055796223066
GAT,2,2,16,1,0.01,11443.5380859375,95.28257751464844,106.97447399233847
GAT,2,2,16,1,0.1,13.66970443725586,3.41280460357666,3.6972563391325544
GAT,2,2,16,2,0.001,6824992.0,2268.363037109375,2612.468564404173
GAT,2,2,16,2,0.01,5895552.5,2106.593994140625,2428.075884316633
GAT,2,2,16,2,0.1,23.85146713256836,4.672151565551758,4.88379638524871
GAT,2,2,16,4,0.001,6825540.0,2266.333251953125,2612.5734439437297
GAT,2,2,16,4,0.01,140791.75,325.811279296875,375.22226746289994
GAT,2,2,16,4,0.1,7.926965236663818,2.5856003761291504,2.815486678473869
GAT,2,2,32,1,0.001,55801.7109375,205.36489868164062,236.22385768059075
GAT,2,2,32,1,0.01,13345034.0,3168.24169921875,3653.085545124833
GAT,2,2,32,1,0.1,1300768.75,988.9451904296875,1140.5124944515076
GAT,2,2,32,2,0.001,59089.31640625,214.40138244628906,243.08294141352246
GAT,2,2,32,2,0.01,27944408.0,4585.96337890625,5286.247061952364
GAT,2,2,32,2,0.1,34.8546257019043,5.729935169219971,5.903780627860786
GAT,2,2,32,4,0.001,3999476.5,1736.3804931640625,1999.8691207176535
GAT,2,2,32,4,0.01,6726946.0,2251.9423828125,2593.635672179113
GAT,2,2,32,4,0.1,33.514652252197266,5.611790180206299,5.789184074824125
GAT,2,3,8,1,0.001,356096606208.0,517858.1875,596738.3063018495
GAT,2,3,8,1,0.01,17.549345016479492,3.9404163360595703,4.189193838494406
GAT,2,3,8,1,0.1,16.41271209716797,3.793447732925415,4.051260556563595
GAT,2,3,8,2,0.001,28247466.0,4614.8330078125,5314.834522353448
GAT,2,3,8,2,0.01,730569.1875,740.4912719726562,854.7334014182434
GAT,2,3,8,2,0.1,70635.71875,231.4103240966797,265.77381125686554
GAT,2,3,8,4,0.001,56822.46484375,203.8401336669922,238.37463129232103
GAT,2,3,8,4,0.01,698799.625,725.2333374023438,835.9423574625226
GAT,2,3,8,4,0.1,130720.5390625,313.06561279296875,361.55295471410545
GAT,2,3,16,1,0.001,22830640.0,4148.33349609375,4778.141898269661
GAT,2,3,16,1,0.01,1488374.0,1058.0987548828125,1219.98934421576
GAT,2,3,16,1,0.1,1272210.125,979.5602416992188,1127.9229251150098
GAT,2,3,16,2,0.001,122161.1875,303.4859619140625,349.51564700310627
GAT,2,3,16,2,0.01,238896.28125,421.9929504394531,488.7701722179863
